player_id, season, club_id , league                 , position, appearances, minutes, goals, xg                   , np_goals, np_xg                , assists, xa                    , shots, key_passes, xg_chain             , xg_buildup
     6122,   2324,       71, ENG-Premier League     , M       ,          35,    3043,     9,  7.572099968791008   ,        5,  4.527424611151218   ,       5,  5.288189608603716    ,    48,         53, 17.31126916781068    , 13.624405791983008
     4401,   2324,       71, ENG-Premier League     , GK      ,          34,    3022,     0,  0.0                 ,        0,  0.0                 ,       0,  0.018454523757100105 ,     0,          1,  9.158851562067866   ,  9.140397010371089
     7726,   2324,       71, ENG-Premier League     , D       ,          35,    3090,     1,  2.3284507524222136  ,        1,  2.3284507524222136  ,       0,  0.6873185783624649   ,    19,          8, 14.659921541810036   , 13.562622778117657
    12581,   2324,       71, ENG-Premier League     , S       ,           1,       1,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.0                 ,  0.0
     8941,   2324,       71, ENG-Premier League     , M S     ,          16,     824,     1,  2.316869243979454   ,        1,  2.316869243979454   ,       1,  0.9168627075850964   ,    19,          9,  5.194736570119858   ,  2.25878119841218
     9415,   2324,       71, ENG-Premier League     , S       ,           1,       1,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.10713136941194534 ,  0.10713136941194534
    11366,   2324,       71, ENG-Premier League     , F S     ,          23,     394,     5,  1.9487376604229212  ,        5,  1.9487376604229212  ,       0,  0.2149669798091054   ,    20,          4,  3.182466324418783   ,  1.1166265159845352
     7723,   2324,       71, ENG-Premier League     , M       ,          35,    3053,     6,  4.672283694148064   ,        6,  4.672283694148064   ,       4,  5.626847393810749    ,    40,         45, 20.780676677823067   , 13.845141869038343
     9409,   2324,       71, ENG-Premier League     , S       ,           3,       3,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.0                 ,  0.0
     7236,   2324,       71, ENG-Premier League     , M S     ,           8,     117,     1,  0.8101427890360355  ,        1,  0.8101427890360355  ,       0,  0.0                  ,     2,          0,  0.636492345482111   ,  0.5911310315132141
     5221,   2324,       71, ENG-Premier League     , F M S   ,          35,    2112,    10,  6.4655649326741695  ,       10,  6.4655649326741695  ,       9, 10.299157902598381    ,    53,         51, 17.98974223807454    ,  6.671372391283512
     1823,   2324,       71, ENG-Premier League     , D S     ,          33,    2406,     1,  1.2978818826377392  ,        1,  1.2978818826377392  ,       3,  2.9300744011998177   ,    20,         37, 10.579740032553673   ,  9.227116078138351
     8864,   2324,       71, ENG-Premier League     , D M S   ,          29,    2142,     2,  4.486114578321576   ,        2,  4.486114578321576   ,       2,  2.969944916665554    ,    33,         13, 14.261767610907555   ,  8.849687004461884
    12412,   2324,       71, ENG-Premier League     , M S     ,          11,     652,     3,  1.086574248969555   ,        3,  1.086574248969555   ,       1,  0.9047513920813799   ,    11,          9,  3.6785017512738705  ,  2.2780009116977453
     6556,   2324,       71, ENG-Premier League     , F M S   ,          38,    2233,     6,  6.457844961434603   ,        6,  6.457844961434603   ,       8,  8.6211255826056      ,    54,         46, 17.952719137072563   ,  6.211081475019455
     6686,   2324,       71, ENG-Premier League     , F M S   ,          25,     820,     2,  3.7046729400753975  ,        2,  3.7046729400753975  ,       0,  0.6395295020192862   ,    27,         10,  5.261115295812488   ,  1.7181058693677187
     8865,   2324,       71, ENG-Premier League     , F       ,          37,    3250,    19, 19.26459836959839    ,       19, 19.26459836959839    ,      13,  7.745744535699487    ,   106,         45, 29.229417741298676   ,  5.899641819298267
    11739,   2324,       71, ENG-Premier League     , S       ,           2,      25,     0,  0.04926174506545067 ,        0,  0.04926174506545067 ,       0,  0.0                  ,     1,          0,  0.04926174506545067 ,  0.0
     6221,   2324,       71, ENG-Premier League     , D S     ,          29,    2467,     2,  1.5308636222034693  ,        2,  1.5308636222034693  ,       0,  0.6226628543809056   ,    12,          8, 12.13946529570967    , 11.884302482940257
      488,   2324,       71, ENG-Premier League     , S       ,           2,      18,     0,  0.14225715398788452 ,        0,  0.14225715398788452 ,       0,  0.0                  ,     3,          0,  0.14225715398788452 ,  0.011847329325973988
     6962,   2324,       71, ENG-Premier League     , GK S    ,           5,     398,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.27475402504205704 ,  0.27475402504205704
     9554,   2324,       71, ENG-Premier League     , M S     ,           9,     136,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.08667697012424469 ,  0.08667697012424469
     1024,   2324,       71, ENG-Premier League     , D       ,           1,      30,     0,  0.01415904238820076 ,        0,  0.01415904238820076 ,       0,  0.13778242468833923  ,     1,          1,  0.13778242468833923 ,  0.0
     5956,   2324,       71, ENG-Premier League     , F M S   ,          32,    1580,     2,  1.0049287639558315  ,        2,  1.0049287639558315  ,       6,  3.0543287601321936   ,    14,         18, 10.675306875258684   ,  8.060789976269007
     4120,   2324,       71, ENG-Premier League     , D S     ,          21,    1033,     2,  1.4437588155269623  ,        2,  1.4437588155269623  ,       0,  1.1591111738234758   ,     8,         11,  6.872497453354299   ,  4.588940887711942
      825,   2324,       73, ENG-Premier League     , D S     ,          28,    2185,     0,  0.03963742405176163 ,        0,  0.03963742405176163 ,       2,  1.4616671204566956   ,     2,         17,  7.450475042685866   ,  6.158073959872127
    12149,   2324,       73, ENG-Premier League     , M S     ,          23,     997,     1,  0.6420764941722155  ,        1,  0.6420764941722155  ,       1,  2.070768877863884    ,    15,         22,  4.81823368743062    ,  2.62489465624094
    11363,   2324,       73, ENG-Premier League     , M S     ,          33,    2141,     8,  6.423830641433597   ,        8,  6.423830641433597   ,       2,  3.799709178507328    ,    70,         29, 15.41077795997262    ,  5.7127093356102705
     7384,   2324,       73, ENG-Premier League     , D S     ,          10,     610,     0,  0.0895473062992096  ,        0,  0.0895473062992096  ,       1,  0.474224217236042    ,     1,          3,  1.9734333753585815  ,  1.9348021671175957
     9662,   2324,       73, ENG-Premier League     , D F M S ,          30,    1200,     1,  2.8214692445471883  ,        1,  2.8214692445471883  ,       2,  1.69136568531394     ,    30,         17,  5.184925131499767   ,  3.1382908783853054
     6820,   2324,       73, ENG-Premier League     , M S     ,          13,     241,     1,  2.2037018723785877  ,        1,  2.2037018723785877  ,       1,  0.9074392039328814   ,    13,          8,  3.8162245713174343  ,  0.9324527494609356
    11300,   2324,       73, ENG-Premier League     , S       ,           1,       1,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.0                 ,  0.0
     1679,   2324,       73, ENG-Premier League     , F S     ,          38,    3346,    19, 21.40683087334037    ,       17, 19.12332433462143    ,       3,  3.5437498800456524   ,   109,         39, 22.5880119279027     ,  4.080137750133872
     6219,   2324,       73, ENG-Premier League     , F S     ,          16,     283,     2,  4.017524182796478   ,        2,  4.017524182796478   ,       2,  1.2090652771294117   ,    23,          5,  3.646910510957241   ,  0.7151226531714201
     6986,   2324,       73, ENG-Premier League     , S       ,           3,      32,     0,  0.13743155915290117 ,        0,  0.13743155915290117 ,       0,  0.05982113257050514  ,     3,          1,  0.5355859631672502  ,  0.33833327889442444
    11486,   2324,       73, ENG-Premier League     , D       ,          37,    3330,     1,  1.736923448741436   ,        1,  1.736923448741436   ,       0,  0.38277394138276577  ,     8,          7,  9.300164757296443   ,  9.114820940420032
     1830,   2324,       73, ENG-Premier League     , GK      ,           2,     180,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.0                 ,  0.0
    10746,   2324,       73, ENG-Premier League     , M S     ,           3,     153,     0,  0.07687148451805115 ,        0,  0.07687148451805115 ,       0,  0.0                  ,     2,          0,  0.15334434807300568 ,  0.07647287100553513
    10747,   2324,       73, ENG-Premier League     , D S     ,           5,      74,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.14408478140830994 ,  0.14408478140830994
      561,   2324,       73, ENG-Premier League     , M S     ,          11,     370,     0,  0.04971148632466793 ,        0,  0.04971148632466793 ,       0,  0.1371351620182395   ,     2,          4,  1.69688056781888    ,  1.6346725337207317
     6963,   2324,       73, ENG-Premier League     , M S     ,          32,    2029,     7,  7.296913180500269   ,        7,  7.296913180500269   ,       1,  1.6692864689975977   ,    56,         21, 11.757105719298124   ,  4.571535241790116
    10743,   2324,       73, ENG-Premier League     , S       ,           8,      76,     1,  1.2537736184895039  ,        1,  1.2537736184895039  ,       0,  0.4799897577613592   ,     6,          2,  1.9978741817176342  ,  0.7897170707583427
     1789,   2324,       73, ENG-Premier League     , D M S   ,          33,    2799,     0,  0.4126169476658106  ,        0,  0.4126169476658106  ,       3,  3.6777359638363123   ,    12,         46, 11.350567385554314   ,  8.91490264236927
     8090,   2324,       73, ENG-Premier League     , D S     ,          23,    1567,     0,  0.3132251426577568  ,        0,  0.3132251426577568  ,       1,  1.6466527543962002   ,     4,          9,  5.733856109902263   ,  4.144671676680446
    10866,   2324,       73, ENG-Premier League     , M S     ,          20,     670,     2,  2.296443399041891   ,        2,  2.296443399041891   ,       2,  2.3218660429120064   ,    27,         19,  4.859211741015315   ,  2.420190142467618
    10864,   2324,       73, ENG-Premier League     , D S     ,          31,    2253,     4,  2.3658602572977543  ,        4,  2.3658602572977543  ,       5,  1.8848512191325426   ,    13,         22,  8.664394936524332   ,  7.699831395410001
    10741,   2324,       73, ENG-Premier League     , F M S   ,          30,    2163,     3,  4.385046798735857   ,        3,  4.385046798735857   ,       4,  6.264871651306748    ,    53,         44, 14.908875443041325   ,  7.105101251974702
     7582,   2324,       73, ENG-Premier League     , GK      ,           4,     360,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.0                 ,  0.0
     7688,   2324,       73, ENG-Premier League     , D S     ,          20,    1219,     0,  0.047610869631171227,        0,  0.047610869631171227,       1,  0.8764500692486763   ,     2,          7,  3.960431007668376   ,  3.3971939999610186
    11709,   2324,       73, ENG-Premier League     , D M S   ,          28,    1982,     0,  1.6971189985051751  ,        0,  1.6971189985051751  ,       1,  1.3916718121618032   ,    16,         13,  7.389515491202474   ,  5.424490239471197
     1297,   2324,       73, ENG-Premier League     , GK      ,          32,    2880,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  4.502189245074987   ,  4.502189245074987
     6034,   2324,       73, ENG-Premier League     , M S     ,          29,    1359,     2,  2.870723254047334   ,        2,  2.870723254047334   ,       2,  3.7171403001993895   ,    30,         23,  7.183791579678655   ,  2.8327820003032684
     6420,   2324,       73, ENG-Premier League     , S       ,           5,      21,     0,  0.13081937655806541 ,        0,  0.13081937655806541 ,       0,  0.0                  ,     2,          0,  0.14801255241036415 ,  0.14801255241036415
    10744,   2324,       73, ENG-Premier League     , M S     ,          37,    2974,     0,  2.0325705148279667  ,        0,  2.0325705148279667  ,       5,  6.359501954168081    ,    43,         53, 14.907791091129184   ,  9.681732330471277
     7352,   2324,       73, ENG-Premier League     , M S     ,           3,     111,     0,  0.0                 ,        0,  0.0                 ,       0,  0.09760691225528717  ,     0,          1,  0.5493647493422031  ,  0.45175783708691597
     8942,   2324,      244, ENG-Premier League     , D       ,           9,     749,     0,  0.19348732568323612 ,        0,  0.19348732568323612 ,       0,  0.04746435210108757  ,     7,          1,  1.1258890461176634  ,  0.9994768127799034
     1654,   2324,      244, ENG-Premier League     , D S     ,          16,    1290,     2,  1.4556071758270264  ,        2,  1.4556071758270264  ,       0,  0.24989730305969715  ,    10,          6,  1.8442281931638718  ,  1.3644802905619144
