match_id,date,home_team,away_team,result,p_home,p_draw,p_away,vig
49477,2023-08-11,Burnley,Man City,A,0.11806956662093454,0.17173755144863206,0.7101928819304333,0.05869788106630214
49483,2023-08-12,Newcastle,Aston Villa,H,0.5413887799136916,0.2526480972930561,0.20596312279325227,0.05548654244306417
49478,2023-08-12,Arsenal,Nott'm Forest,H,0.8017715332926084,0.13515577275503968,0.06307269395235185,0.0569814366424537
49479,2023-08-12,Bournemouth,West Ham,D,0.35051546391752575,0.27835051546391754,0.3711340206185567,0.056644880174292034
49481,2023-08-12,Everton,Fulham,A,0.43220338983050843,0.2796610169491525,0.288135593220339,0.051693404634581164
49482,2023-08-12,Sheffield United,Crystal Palace,A,0.31549771029163654,0.28681610026512416,0.39768618944323936,0.05653170359052706
49480,2023-08-12,Brighton,Luton,H,0.7196336410554626,0.17402049865523006,0.10634586028930725,0.0448089921774133
49484,2023-08-13,Brentford,Tottenham,D,0.3411487662537115,0.2759291491757961,0.3829220845704924,0.06591727600130959
49485,2023-08-13,Chelsea,Liverpool,D,0.3255813953488372,0.27770177838577287,0.39671682626538984,0.05911330049261099
49486,2023-08-14,Man United,Wolves,H,0.7196336410554626,0.17402049865523006,0.10634586028930725,0.0448089921774133
49487,2023-08-18,Nott'm Forest,Sheffield United,H,0.48519443453442745,0.27827327863003926,0.23653228683553335,0.05693815987933637
49488,2023-08-19,Fulham,Brentford,A,0.3515188335358444,0.28760631834750905,0.3608748481166464,0.05362881028280286
49490,2023-08-19,Wolves,Brighton,A,0.23725953425582186,0.249746878164023,0.5129935875801553,0.053698435277382384
49492,2023-08-19,Man City,Newcastle,H,0.5709391949757351,0.2383671139023694,0.19069369112189552,0.04880239520958085
49491,2023-08-19,Tottenham,Man United,H,0.33849557522123896,0.26327433628318586,0.39823008849557523,0.0550887021475257
49489,2023-08-19,Liverpool,Bournemouth,H,0.7913043478260869,0.13565217391304346,0.07304347826086957,0.05311355311355315
49494,2023-08-20,West Ham,Chelsea,H,0.25339366515837103,0.27149321266968324,0.4751131221719457,0.05238095238095242
49493,2023-08-20,Aston Villa,Everton,H,0.5546995377503853,0.2357473035439137,0.20955315870570107,0.06045751633986929
49495,2023-08-21,Crystal Palace,Arsenal,A,0.17204301075268816,0.23655913978494622,0.5913978494623655,0.05681818181818188
49496,2023-08-25,Chelsea,Luton,H,0.7397444519166108,0.17350369872225962,0.08675184936112981,0.04792107117688493
49500,2023-08-26,Everton,Wolves,A,0.41395531164249316,0.2885143081144649,0.2975303802430419,0.05031291172595531
49501,2023-08-26,Man United,Nott'm Forest,H,0.7250755287009064,0.1570996978851964,0.1178247734138973,0.06089743589743568
49498,2023-08-26,Arsenal,Fulham,D,0.7913043478260869,0.13565217391304346,0.07304347826086957,0.05311355311355315
49499,2023-08-26,Brentford,Crystal Palace,D,0.44510940714419295,0.2814662427529456,0.27342435010286137,0.044948211842876784
49497,2023-08-26,Bournemouth,Tottenham,A,0.24982124483353968,0.25315219476465356,0.49702656040180676,0.05338477082759252
49502,2023-08-26,Brighton,West Ham,A,0.619757688723206,0.1996272134203169,0.18061509785647717,0.0545972775074941
49504,2023-08-27,Sheffield United,Man City,A,0.07280080889787664,0.11830131445904954,0.8088978766430739,0.056623931623931645
49505,2023-08-27,Newcastle,Liverpool,A,0.4310344827586207,0.25287356321839083,0.3160919540229885,0.05454545454545445
49503,2023-08-27,Burnley,Aston Villa,A,0.2792207792207792,0.2792207792207792,0.44155844155844154,0.05335157318741457
49506,2023-09-01,Luton,West Ham,A,0.20017356089094587,0.25021695111368236,0.5496094879953717,0.05171889260724072
49507,2023-09-02,Sheffield United,Everton,D,0.3276209677419355,0.2923387096774194,0.3800403225806452,0.052519893899204195
49510,2023-09-02,Chelsea,Nott'm Forest,A,0.6775907883082374,0.21080602302922938,0.11160318866253321,0.05415499533146595
49508,2023-09-02,Brentford,Bournemouth,D,0.5496094879953717,0.25021695111368236,0.20017356089094587,0.05171889260724072
49509,2023-09-02,Burnley,Tottenham,A,0.26001405481377377,0.23401264933239635,0.5059732958538299,0.06831831831831825
49511,2023-09-02,Man City,Fulham,H,0.8168266285480907,0.11946089442515825,0.06371247702675106,0.046367521367521425
49512,2023-09-02,Brighton,Newcastle,H,0.37903383532172885,0.24936436534324266,0.37160179933502835,0.05531475748194037
49515,2023-09-03,Arsenal,Man United,H,0.540711462450593,0.24901185770750991,0.21027667984189727,0.05680868838763553
49514,2023-09-03,Liverpool,Aston Villa,H,0.5769230769230769,0.2115384615384615,0.2115384615384615,0.05050505050505061
49513,2023-09-03,Crystal Palace,Wolves,H,0.49507489008152494,0.2865433454714281,0.2183817644470468,0.057537394671477005
49519,2023-09-16,Man United,Brighton,A,0.4378230465186987,0.23532988750380054,0.32684706597750074,0.0623385012919897
49518,2023-09-16,Fulham,Luton,H,0.5717651950932151,0.2546261002148451,0.17360870469193984,0.04728724369442938
49522,2023-09-16,Newcastle,Brentford,H,0.6175562417291575,0.22496691662990734,0.15747684164093514,0.05835667600373484
49517,2023-09-16,Aston Villa,Crystal Palace,H,0.49799419006778256,0.2642135841748513,0.23779222575736617,0.05133798720186156
49516,2023-09-16,Wolves,Liverpool,A,0.15778019586507072,0.18933623503808486,0.6528835690968444,0.056321839080459846
49520,2023-09-16,Tottenham,Sheffield United,H,0.7397444519166108,0.17350369872225962,0.08675184936112981,0.04792107117688493
49521,2023-09-16,West Ham,Man City,A,0.13544369486248053,0.21069019200830302,0.6538661131292164,0.054734537493158264
49523,2023-09-17,Bournemouth,Chelsea,D,0.21928755908581452,0.25320403489108717,0.5275084060230983,0.05316910443931233
49524,2023-09-17,Everton,Arsenal,A,0.15789473684210528,0.2105263157894737,0.6315789473684211,0.05555555555555536
49525,2023-09-18,Nott'm Forest,Burnley,D,0.43374642516682554,0.2726406101048618,0.2936129647283127,0.04795204795204788
49528,2023-09-23,Man City,Nott'm Forest,H,0.8263659342796034,0.11083025471514679,0.06280381100524984,0.0615067079463365
49529,2023-09-23,Brentford,Everton,A,0.5256916996047432,0.24901185770750986,0.225296442687747,0.05680868838763575
49526,2023-09-23,Crystal Palace,Fulham,D,0.4959022086400889,0.2785803583831088,0.22551743297680232,0.05577309457814539
49530,2023-09-23,Burnley,Man United,A,0.2258485639686684,0.2258485639686684,0.5483028720626633,0.054225158271401064
49527,2023-09-23,Luton,Wolves,D,0.29127725856697817,0.27842679127725856,0.43029595015576316,0.05635540929658589
49535,2023-09-24,Sheffield United,Newcastle,A,0.13633645604943193,0.20091688259916285,0.6627466613514053,0.047827903091060886
49532,2023-09-24,Brighton,Bournemouth,H,0.6942607775720708,0.1798466014281936,0.12589262099973553,0.059103641456582645
49531,2023-09-24,Arsenal,Tottenham,D,0.5645371577574968,0.21773142112125163,0.21773142112125163,0.06069615964376096
49533,2023-09-24,Chelsea,Aston Villa,A,0.49702656040180676,0.25315219476465356,0.24982124483353968,0.05338477082759252
49534,2023-09-24,Liverpool,West Ham,H,0.6756756756756757,0.1891891891891892,0.13513513513513511,0.05714285714285716
49536,2023-09-30,Aston Villa,Brighton,H,0.3731343283582089,0.25373134328358204,0.3731343283582089,0.05098039215686301
49537,2023-09-30,Bournemouth,Arsenal,A,0.17191011235955056,0.21011235955056176,0.6179775280898876,0.05763517528223416
49543,2023-09-30,Tottenham,Liverpool,H,0.3253262719878949,0.23586154719122376,0.4388121808208814,0.059943865276663955
49542,2023-09-30,Wolves,Man City,H,0.11895780672759089,0.16550651370795255,0.7155356795644564,0.050792742726381235
49539,2023-09-30,Man United,Crystal Palace,A,0.6102722850464338,0.2252195337671363,0.16450818118642999,0.05716957189607941
49540,2023-09-30,Newcastle,Burnley,H,0.7296439901304195,0.16496298907296442,0.10539302079661615,0.05425492382014108
49541,2023-09-30,West Ham,Sheffield United,H,0.6538661131292164,0.21069019200830302,0.13544369486248053,0.054734537493158264
49538,2023-09-30,Everton,Luton,A,0.6043404859191113,0.24968804286658017,0.14597147121430842,0.05394672374223175
49544,2023-10-01,Nott'm Forest,Brentford,D,0.34416118421052627,0.30530427631578944,0.3505345394736841,0.056587379168024476
49545,2023-10-02,Fulham,Chelsea,A,0.2642238998342847,0.2717731541152642,0.46400294605045117,0.051296941540843966
49546,2023-10-03,Luton,Burnley,A,0.3258041871412644,0.31494404756988886,0.35925176528884667,0.05838905642235925
49548,2023-10-07,Burnley,Chelsea,A,0.20897040592517244,0.24746495438507263,0.543564639689755,0.06341479903998914
49550,2023-10-07,Fulham,Sheffield United,H,0.5895128762022959,0.25131864722308406,0.1591684765746199,0.0471085120207928
49549,2023-10-07,Everton,Bournemouth,H,0.491838642410297,0.26094772416768536,0.2472136334220177,0.06449588193870359
49547,2023-10-07,Luton,Tottenham,A,0.15622341933654663,0.1973348454777431,0.6464417351857102,0.06684815486993356
49552,2023-10-07,Crystal Palace,Nott'm Forest,D,0.43088803088803085,0.30579150579150577,0.2633204633204633,0.054903877484522745
49551,2023-10-07,Man United,Brentford,H,0.5716905706876048,0.2273150602495952,0.20099436906279997,0.047423949094292706
49553,2023-10-08,Brighton,Liverpool,D,0.31714719271623676,0.2503793626707132,0.4324734446130501,0.05103668261562988
49554,2023-10-08,West Ham,Newcastle,D,0.2961082910321489,0.25267907501410036,0.45121263395375066,0.05535714285714288
49555,2023-10-08,Wolves,Aston Villa,D,0.27055702917771884,0.2785145888594165,0.4509283819628648,0.056022408963585235
49556,2023-10-08,Arsenal,Man City,H,0.3239263803680982,0.2846625766871166,0.3914110429447853,0.0645245559038663
49557,2023-10-21,Liverpool,Everton,H,0.7099057574385776,0.16420428824231448,0.12588995431910777,0.05912607605971454
49559,2023-10-21,Brentford,Burnley,H,0.5198277142432793,0.25367592455072036,0.2264963612060003,0.051209992193598675
49558,2023-10-21,Bournemouth,Wolves,A,0.40106951871657753,0.2807486631016043,0.3181818181818181,0.04761904761904767
49563,2023-10-21,Chelsea,Arsenal,D,0.29731830547998445,0.27982899339292655,0.42285270112708895,0.051062091503268014
49562,2023-10-21,Nott'm Forest,Luton,D,0.5717651950932151,0.2546261002148451,0.17360870469193984,0.04728724369442938
49564,2023-10-21,Sheffield United,Man United,A,0.1453287197231834,0.17993079584775085,0.6747404844290658,0.05860805860805862
49560,2023-10-21,Man City,Brighton,H,0.6747404844290658,0.17993079584775085,0.1453287197231834,0.05860805860805862
49561,2023-10-21,Newcastle,Crystal Palace,H,0.6538661131292164,0.21069019200830302,0.13544369486248053,0.054734537493158264
49565,2023-10-22,Aston Villa,West Ham,H,0.5059732958538299,0.26001405481377377,0.23401264933239635,0.06831831831831825
49566,2023-10-23,Tottenham,Fulham,H,0.631578947368421,0.21052631578947367,0.15789473684210525,0.05555555555555558
49567,2023-10-27,Crystal Palace,Tottenham,A,0.20958083832335328,0.25149700598802394,0.5389221556886227,0.060317460317460325
49569,2023-10-28,Arsenal,Sheffield United,H,0.8386342983253279,0.11148903024795534,0.04987667142671686,0.055234389983287224
49568,2023-10-28,Chelsea,Brentford,A,0.5791106514994829,0.2388831437435367,0.18200620475698032,0.046536796536796654
49570,2023-10-28,Bournemouth,Burnley,H,0.44134505158578524,0.2711119602598395,0.28754298815437523,0.05386086781435617
49571,2023-10-28,Wolves,Newcastle,D,0.2247191011235955,0.23595505617977527,0.5393258426966292,0.059523809523809534
49572,2023-10-29,West Ham,Everton,A,0.44134505158578524,0.2711119602598395,0.28754298815437523,0.05386086781435617
49576,2023-10-29,Man United,Man City,A,0.18833095916429252,0.24780389363722696,0.5638651471984806,0.061960289946422886
49573,2023-10-29,Aston Villa,Luton,H,0.7553516819571866,0.1452599388379205,0.09938837920489296,0.059109311740890735
49575,2023-10-29,Liverpool,Nott'm Forest,H,0.7453672333028902,0.16722151842795277,0.08741124826915714,0.04001593283696403
49574,2023-10-29,Brighton,Fulham,D,0.6057427559984266,0.2235479218565622,0.17070932214501117,0.06507471023600053
49577,2023-11-04,Fulham,Man United,A,0.2990936555891239,0.26586102719033233,0.4350453172205438,0.044823232323232265
49580,2023-11-04,Everton,Brighton,D,0.30579150579150577,0.2633204633204633,0.43088803088803085,0.054903877484522745
49581,2023-11-04,Man City,Bournemouth,H,0.8636363636363636,0.08636363636363636,0.05,0.05263157894736836
49578,2023-11-04,Brentford,West Ham,H,0.46400294605045106,0.2642238998342846,0.27177315411526415,0.05129694154084419
49583,2023-11-04,Newcastle,Arsenal,H,0.33876221498371334,0.29641693811074915,0.3648208469055374,0.05425824175824179
49579,2023-11-04,Burnley,Crystal Palace,A,0.34437086092715236,0.29139072847682124,0.3642384105960265,0.055944055944055826
49582,2023-11-04,Sheffield United,Wolves,H,0.25089605734767023,0.27240143369175623,0.4767025089605735,0.048872180451127845
49584,2023-11-05,Nott'm Forest,Aston Villa,H,0.22777640975129282,0.255109578921448,0.5171140113272593,0.045302445302445093
49585,2023-11-05,Luton,Liverpool,D,0.07885055185442974,0.14557024957740877,0.7755791985681615,0.05685161832702823
49586,2023-11-06,Tottenham,Chelsea,A,0.4751131221719458,0.2533936651583711,0.2714932126696833,0.052380952380952195
49590,2023-11-11,Man United,Luton,H,0.7177033492822967,0.18181818181818185,0.10047846889952154,0.04761904761904745
49588,2023-11-11,Arsenal,Burnley,H,0.8077654086342655,0.13616616888406188,0.05606842248167254,0.049138299387551765
49587,2023-11-11,Wolves,Tottenham,H,0.3090466379471811,0.2554785540363364,0.43547480801648253,0.04379276637341145
49589,2023-11-11,Crystal Palace,Everton,A,0.3872529245663574,0.2964905203711174,0.3162565550625252,0.05399659863945572
49591,2023-11-11,Bournemouth,Newcastle,H,0.2027096301720981,0.2407176858293665,0.5565726839985353,0.03856099787039868
49592,2023-11-12,Aston Villa,Fulham,H,0.6026768243366641,0.22528633671632445,0.1720368389470114,0.056856095072655544
49596,2023-11-12,Chelsea,Man City,D,0.1907841793091115,0.2578164585258263,0.5513993621650621,0.04830495235119514
49593,2023-11-12,Brighton,Sheffield United,D,0.7612985359643539,0.16549968173138127,0.0732017823042648,0.05083612040133789
49595,2023-11-12,West Ham,Nott'm Forest,H,0.5059732958538299,0.26001405481377377,0.23401264933239635,0.06831831831831825
49594,2023-11-12,Liverpool,Brentford,H,0.6687242798353908,0.18724279835390945,0.14403292181069957,0.06813186813186833
49600,2023-11-25,Newcastle,Chelsea,H,0.3706238801763534,0.2700259698427717,0.35935014998087494,0.058099285341512985
49598,2023-11-25,Burnley,West Ham,A,0.27548473795354195,0.2676137454405836,0.4569015166058745,0.06763681082188966
49599,2023-11-25,Luton,Crystal Palace,H,0.26279863481228666,0.28668941979522183,0.4505119453924914,0.05699855699855716
49603,2023-11-25,Brentford,Arsenal,A,0.20958083832335328,0.25149700598802394,0.5389221556886227,0.060317460317460325
49602,2023-11-25,Sheffield United,Bournemouth,A,0.2968388589051658,0.27139552814186585,0.4317656129529684,0.05275974025974017
49597,2023-11-25,Man City,Liverpool,D,0.5483028720626633,0.2258485639686684,0.2258485639686684,0.054225158271401064
49601,2023-11-25,Nott'm Forest,Brighton,A,0.29609793420045905,0.2631981637337414,0.4407039020657995,0.05539405684754528
49604,2023-11-26,Tottenham,Aston Villa,A,0.4120836560805577,0.249419054996127,0.3384972889233152,0.05508336057535157
49605,2023-11-26,Everton,Man United,A,0.35051546391752575,0.27835051546391754,0.3711340206185567,0.056644880174292034
49606,2023-11-27,Fulham,Wolves,H,0.39768618944323936,0.28681610026512416,0.31549771029163654,0.05653170359052706
49608,2023-12-02,Brentford,Luton,H,0.6471238938053098,0.20851769911504422,0.144358407079646,0.06572354848216921
49607,2023-12-02,Arsenal,Wolves,H,0.7510668563300142,0.17069701280227595,0.07823613086770981,0.06515151515151518
49611,2023-12-02,Newcastle,Man United,H,0.49702656040180676,0.25315219476465356,0.24982124483353968,0.05338477082759252
49610,2023-12-02,Nott'm Forest,Everton,A,0.34437086092715236,0.29139072847682124,0.3642384105960265,0.055944055944055826
49609,2023-12-02,Burnley,Sheffield United,H,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.05555555555555558
49613,2023-12-03,Chelsea,Brighton,H,0.5483028720626633,0.2258485639686684,0.2258485639686684,0.054225158271401064
49616,2023-12-03,Man City,Tottenham,D,0.7361963190184049,0.15828220858895706,0.10552147239263804,0.05297157622739013
49614,2023-12-03,Liverpool,Fulham,H,0.7512038523274479,0.14446227929373998,0.1043338683788122,0.06495726495726495
49615,2023-12-03,West Ham,Crystal Palace,D,0.4767025089605735,0.27240143369175623,0.25089605734767023,0.048872180451127845
49612,2023-12-03,Bournemouth,Aston Villa,D,0.2782732786300392,0.2365322868355333,0.48519443453442734,0.05693815987933659
49617,2023-12-05,Wolves,Burnley,H,0.5116751269035532,0.2629441624365482,0.22538071065989848,0.05641355641355639
49618,2023-12-05,Luton,Arsenal,A,0.05606842248167254,0.13616616888406188,0.8077654086342655,0.049138299387551765
49619,2023-12-06,Brighton,Brentford,H,0.49702656040180676,0.24982124483353968,0.25315219476465356,0.05338477082759252
49622,2023-12-06,Sheffield United,Liverpool,A,0.07936507936507936,0.12698412698412698,0.7936507936507936,0.050000000000000044
49624,2023-12-06,Man United,Chelsea,H,0.3308443879577409,0.2802446580347923,0.38891095400746684,0.04950313458716815
