match_id,bookmaker,selection,implied_prob,vig
50159,market_avg,draw,0.2759112876325527,0.04448223381182581
50159,market_avg,away,0.40915049918160595,0.04448223381182581
50160,bet365,home,0.48339684267827987,0.06086856086856085
50160,bet365,draw,0.26183995645073493,0.06086856086856085
50160,bet365,away,0.25476320087098525,0.06086856086856085
50160,market_avg,home,0.4800409525739333,0.0468118607790573
50160,market_avg,draw,0.2631629464523767,0.0468118607790573
50160,market_avg,away,0.25679610097369016,0.0468118607790573
50161,bet365,home,0.29609793420045905,0.05539405684754528
50161,bet365,draw,0.2631981637337414,0.05539405684754528
50161,bet365,away,0.4407039020657995,0.05539405684754528
50161,market_avg,home,0.29883922416202424,0.04571279381507565
50161,market_avg,draw,0.256376814294498,0.04571279381507565
50161,market_avg,away,0.4447839615434779,0.04571279381507565
50162,bet365,home,0.21076011846001974,0.05438459536820184
50162,bet365,draw,0.27097729516288255,0.05438459536820184
50162,bet365,away,0.5182625863770978,0.05438459536820184
50162,market_avg,home,0.22596235930707503,0.04375373547619432
50162,market_avg,draw,0.2589406495843238,0.04375373547619432
50162,market_avg,away,0.5150969911086012,0.04375373547619432
50163,bet365,home,0.6834257312177403,0.060302016823756244
50163,bet365,draw,0.1714777289237239,0.060302016823756244
50163,bet365,away,0.14509653985853563,0.060302016823756244
50163,market_avg,home,0.6865760377016495,0.047843823445931966
50163,market_avg,draw,0.17938734819648358,0.047843823445931966
50163,market_avg,away,0.13403661410186696,0.047843823445931966
50164,bet365,home,0.28062360801781744,0.04808590102707733
50164,bet365,draw,0.26503340757238314,0.04808590102707733
50164,bet365,away,0.4543429844097996,0.04808590102707733
50164,market_avg,home,0.28687671386199565,0.04679217862472518
50164,market_avg,draw,0.2646258884100957,0.04679217862472518
50164,market_avg,away,0.44849739772790864,0.04679217862472518
50165,bet365,home,0.14410237388724037,0.06761706761706754
50165,bet365,draw,0.22301557863501484,0.06761706761706754
50165,bet365,away,0.6328820474777448,0.06761706761706754
50165,market_avg,home,0.14907332796132153,0.048141891891891886
50165,market_avg,draw,0.21488047273704,0.048141891891891886
50165,market_avg,away,0.6360461993016384,0.048141891891891886
50166,bet365,home,0.6342525399129173,0.05110602593440117
50166,bet365,draw,0.20029027576197386,0.05110602593440117
50166,bet365,away,0.16545718432510886,0.05110602593440117
50166,market_avg,home,0.6364360491579426,0.047499851004231486
50166,market_avg,draw,0.20311788802913064,0.047499851004231486
50166,market_avg,away,0.1604460628129267,0.047499851004231486
50167,bet365,home,0.744047619047619,0.041860465116279055
50167,bet365,draw,0.15997023809523808,0.041860465116279055
50167,bet365,away,0.09598214285714286,0.041860465116279055
50167,market_avg,home,0.7511542200608383,0.04825554296876011
50167,market_avg,draw,0.16196364337474783,0.04825554296876011
50167,market_avg,away,0.0868821365644139,0.04825554296876011
50168,bet365,home,0.4537346711259755,0.04949104949104943
50168,bet365,draw,0.28874024526198444,0.04949104949104943
50168,bet365,away,0.25752508361204013,0.04949104949104943
50168,market_avg,home,0.45278258388876336,0.0467135136220973
50168,market_avg,draw,0.2868982738754627,0.0467135136220973
50168,market_avg,away,0.26031914223577407,0.0467135136220973
50169,bet365,home,0.15874177029992684,0.049923195084485394
50169,bet365,draw,0.22677395757132407,0.049923195084485394
50169,bet365,away,0.6144842721287491,0.049923195084485394
50169,market_avg,home,0.16882076808397914,0.048396784656461245
50169,market_avg,draw,0.21580030309377427,0.048396784656461245
50169,market_avg,away,0.6153789288222465,0.048396784656461245
50170,bet365,home,0.5918858330143802,0.0559468822170901
50170,bet365,draw,0.2187107004210181,0.0559468822170901
50170,bet365,away,0.1894034665646017,0.0559468822170901
50170,market_avg,home,0.5924332727306606,0.04841851565744282
50170,market_avg,draw,0.22928306949431818,0.04841851565744282
50170,market_avg,away,0.17828365777502125,0.04841851565744282
50171,bet365,home,0.751404937803877,0.04790577648382177
50171,bet365,draw,0.13632632443013198,0.04790577648382177
50171,bet365,away,0.11226873776599104,0.04790577648382177
50171,market_avg,home,0.7580784260079817,0.05529978502722477
50171,market_avg,draw,0.14423105517655663,0.05529978502722477
50171,market_avg,away,0.09769051881546156,0.05529978502722477
50172,bet365,home,0.7250755287009064,0.06089743589743568
50172,bet365,draw,0.1570996978851964,0.06089743589743568
50172,bet365,away,0.1178247734138973,0.06089743589743568
50172,market_avg,home,0.736225653913561,0.04483016197786993
50172,market_avg,draw,0.16249462650044644,0.04483016197786993
50172,market_avg,away,0.10127971958599254,0.04483016197786993
50173,bet365,home,0.4308880308880309,0.05490387748452252
50173,bet365,draw,0.2633204633204634,0.05490387748452252
50173,bet365,away,0.3057915057915058,0.05490387748452252
50173,market_avg,home,0.42765013024779697,0.04859197169823082
50173,market_avg,draw,0.2686365606908696,0.04859197169823082
50173,market_avg,away,0.3037133090613335,0.04859197169823082
50174,bet365,home,0.5746381507885073,0.054682159945317776
50174,bet365,draw,0.22575070209548498,0.054682159945317776
50174,bet365,away,0.19961114711600778,0.054682159945317776
50174,market_avg,home,0.5744613334179545,0.055006787758265396
50174,market_avg,draw,0.22514517818043348,0.055006787758265396
50174,market_avg,away,0.20039348840161203,0.055006787758265396
50175,bet365,home,0.44134505158578524,0.05386086781435617
50175,bet365,draw,0.2711119602598395,0.05386086781435617
50175,bet365,away,0.28754298815437523,0.05386086781435617
50175,market_avg,home,0.4440351800345787,0.04747619103861789
50175,market_avg,draw,0.2666691723671352,0.04747619103861789
50175,market_avg,away,0.28929564759828613,0.04747619103861789
50176,bet365,home,0.5674708261793209,0.05521265161983724
50176,bet365,draw,0.24299391787678612,0.05521265161983724
50176,bet365,away,0.18953525594389314,0.05521265161983724
50176,market_avg,home,0.5580923389142567,0.04784688995215314
50176,market_avg,draw,0.24099441907661087,0.04784688995215314
50176,market_avg,away,0.2009132420091324,0.04784688995215314
50177,bet365,home,0.39176547697074426,0.06356147021546255
50177,bet365,draw,0.2507299052612763,0.06356147021546255
50177,bet365,away,0.35750461776797954,0.06356147021546255
50177,market_avg,home,0.3819058067549565,0.04737868061967787
50177,market_avg,draw,0.26447770550897265,0.04737868061967787
50177,market_avg,away,0.3536164877360708,0.04737868061967787
50178,bet365,home,0.3828316115075915,0.06616917996602956
50178,bet365,draw,0.26053818005377755,0.06616917996602956
50178,bet365,away,0.3566302084386309,0.06616917996602956
50178,market_avg,home,0.3756923950952388,0.04793387500370039
50178,market_avg,draw,0.26956459987059506,0.04793387500370039
50178,market_avg,away,0.35474300503416606,0.04793387500370039
50179,bet365,home,0.2522099548839085,0.07160825747213195
50179,bet365,draw,0.25921578696401715,0.07160825747213195
50179,bet365,away,0.48857425815207417,0.07160825747213195
50179,market_avg,home,0.2512644001123911,0.04733457910922123
50179,market_avg,draw,0.26159033436358525,0.04733457910922123
50179,market_avg,away,0.4871452655240236,0.04733457910922123
50180,bet365,home,0.6371481479804588,0.060468711738919545
50180,bet365,draw,0.21777811986399054,0.060468711738919545
50180,bet365,away,0.14507373215555064,0.060468711738919545
50180,market_avg,home,0.6397072650565361,0.049137591923395396
50180,market_avg,draw,0.2122859298294518,0.049137591923395396
50180,market_avg,away,0.1480068051140122,0.049137591923395396
50181,bet365,home,0.40399918384003264,0.07619675010979376
50181,bet365,draw,0.2581105896755764,0.07619675010979376
50181,bet365,away,0.3378902264843909,0.07619675010979376
50181,market_avg,home,0.40351739389897145,0.0500881002056901
50181,market_avg,draw,0.262341886942582,0.0500881002056901
50181,market_avg,away,0.3341407191584465,0.0500881002056901
50182,bet365,home,0.34738314023172195,0.0661725555342576
50182,bet365,draw,0.25349580503395924,0.0661725555342576
50182,bet365,away,0.39912105473431886,0.0661725555342576
50182,market_avg,home,0.3376518793965088,0.050223471913779294
50182,market_avg,draw,0.27050519883470314,0.050223471913779294
50182,market_avg,away,0.391842921768788,0.050223471913779294
50183,bet365,home,0.11775700934579439,0.06150793650793651
50183,bet365,draw,0.20934579439252335,0.06150793650793651
50183,bet365,away,0.6728971962616822,0.06150793650793651
50183,market_avg,home,0.12164390886280829,0.04989984300329131
50183,market_avg,draw,0.1980190865687711,0.04989984300329131
50183,market_avg,away,0.6803370045684206,0.04989984300329131
50184,bet365,home,0.47368421052631576,0.05555555555555558
50184,bet365,draw,0.2631578947368421,0.05555555555555558
50184,bet365,away,0.2631578947368421,0.05555555555555558
50184,market_avg,home,0.4770324096627217,0.04814681323962278
50184,market_avg,draw,0.26649855288420204,0.04814681323962278
50184,market_avg,away,0.2564690374530762,0.04814681323962278
50185,bet365,home,0.08491564118269392,0.07058122205663198
50185,bet365,draw,0.14945152848154128,0.07058122205663198
50185,bet365,away,0.7656328303357648,0.07058122205663198
50185,market_avg,home,0.08107189191607389,0.04887170628101156
50185,market_avg,draw,0.14380172683756093,0.04887170628101156
50185,market_avg,away,0.775126381246365,0.04887170628101156
50186,bet365,home,0.3828316115075915,0.06616917996602956
50186,bet365,draw,0.26053818005377755,0.06616917996602956
50186,bet365,away,0.3566302084386309,0.06616917996602956
50186,market_avg,home,0.38545454545454544,0.05033992819494304
50186,market_avg,draw,0.25662337662337664,0.05033992819494304
50186,market_avg,away,0.3579220779220779,0.05033992819494304
50187,bet365,home,0.5261599210266535,0.055868250990202206
50187,bet365,draw,0.23099703849950645,0.055868250990202206
50187,bet365,away,0.24284304047384012,0.055868250990202206
50187,market_avg,home,0.5191021983062922,0.04129888546840377
50187,market_avg,draw,0.23653671597700518,0.04129888546840377
50187,market_avg,away,0.2443610857167025,0.04129888546840377
50188,bet365,home,0.6750355281856939,0.05814536340852139
50188,bet365,draw,0.19895783988630977,0.05814536340852139
50188,bet365,away,0.1260066319279962,0.05814536340852139
50188,market_avg,home,0.6775036346761518,0.04681336284644
50188,market_avg,draw,0.20499573495565965,0.04681336284644
50188,market_avg,away,0.11750063036818867,0.04681336284644
50189,bet365,home,0.6075949367088608,0.06182795698924726
50189,bet365,draw,0.23544303797468355,0.06182795698924726
50189,bet365,away,0.1569620253164557,0.06182795698924726
50189,market_avg,home,0.6043762688923979,0.047214169353406055
50189,market_avg,draw,0.23404767275735017,0.047214169353406055
50189,market_avg,away,0.1615760583502519,0.047214169353406055
50190,bet365,home,0.5716905706876048,0.047423949094292706
50190,bet365,draw,0.2273150602495952,0.047423949094292706
50190,bet365,away,0.20099436906279997,0.047423949094292706
