bet_id,date,match,market,selection,odds_taken,model_prob,ev,stake,book,result,closing_odds,clov,pnl,status
1,2026-06-28,South Africa vs Canada,parlay,Canada ML + Tani Oluwaseyi o1.5 shots,2.0,0.48,-0.04,3000.0,parlay,win,,,3000.0,settled
2,2026-06-29,Brazil vs Japan,parlay (SGP),Vinicius Jr o0.5 SoT + Over 1.5 goles,1.571,0.58,-0.089,5500.0,parlay,win,,,3140.5,settled
3,2026-06-29,Germany vs Paraguay,parlay (SGP),Germany ML + Over 1.5 goles,1.538,0.64,-0.015,6143.25,parlay,loss,,,-6143.25,settled
4,2026-06-30,Ivory Coast vs Norway,advance,Norway to advance (se clasifica),1.628,0.62,0.009,3330.0,live,win,,,2091.24,settled
5,2026-06-30,France vs Sweden,player_shots,Ousmane Dembélé o2.5 tiros,1.67,0.68,0.136,2000.0,live,loss,,,-2000.0,settled
