match_id,bookmaker,market,selection,line,price,captured_at
49490,bet365,1x2,draw,,3.8,2026-06-14 23:29:39.511732
49490,bet365,1x2,away,,1.85,2026-06-14 23:29:39.511732
49490,market_avg,1x2,home,,4.0,2026-06-14 23:29:39.511732
49490,market_avg,1x2,draw,,3.81,2026-06-14 23:29:39.511732
49490,market_avg,1x2,away,,1.89,2026-06-14 23:29:39.511732
49491,bet365,1x2,home,,2.8,2026-06-14 23:29:39.511732
49491,bet365,1x2,draw,,3.6,2026-06-14 23:29:39.511732
49491,bet365,1x2,away,,2.38,2026-06-14 23:29:39.511732
49491,market_avg,1x2,home,,2.84,2026-06-14 23:29:39.511732
49491,market_avg,1x2,draw,,3.75,2026-06-14 23:29:39.511732
49491,market_avg,1x2,away,,2.37,2026-06-14 23:29:39.511732
49492,bet365,1x2,home,,1.67,2026-06-14 23:29:39.511732
49492,bet365,1x2,draw,,4.0,2026-06-14 23:29:39.511732
49492,bet365,1x2,away,,5.0,2026-06-14 23:29:39.511732
49492,market_avg,1x2,home,,1.7,2026-06-14 23:29:39.511732
49492,market_avg,1x2,draw,,4.07,2026-06-14 23:29:39.511732
49492,market_avg,1x2,away,,4.83,2026-06-14 23:29:39.511732
49493,bet365,1x2,home,,1.7,2026-06-14 23:29:39.511732
49493,bet365,1x2,draw,,4.0,2026-06-14 23:29:39.511732
49493,bet365,1x2,away,,4.5,2026-06-14 23:29:39.511732
49493,market_avg,1x2,home,,1.7,2026-06-14 23:29:39.511732
49493,market_avg,1x2,draw,,3.91,2026-06-14 23:29:39.511732
49493,market_avg,1x2,away,,5.0,2026-06-14 23:29:39.511732
49494,bet365,1x2,home,,3.75,2026-06-14 23:29:39.511732
49494,bet365,1x2,draw,,3.5,2026-06-14 23:29:39.511732
49494,bet365,1x2,away,,2.0,2026-06-14 23:29:39.511732
49494,market_avg,1x2,home,,3.66,2026-06-14 23:29:39.511732
49494,market_avg,1x2,draw,,3.57,2026-06-14 23:29:39.511732
49494,market_avg,1x2,away,,2.04,2026-06-14 23:29:39.511732
49495,bet365,1x2,home,,5.5,2026-06-14 23:29:39.511732
49495,bet365,1x2,draw,,4.0,2026-06-14 23:29:39.511732
49495,bet365,1x2,away,,1.6,2026-06-14 23:29:39.511732
49495,market_avg,1x2,home,,5.79,2026-06-14 23:29:39.511732
49495,market_avg,1x2,draw,,4.06,2026-06-14 23:29:39.511732
49495,market_avg,1x2,away,,1.6,2026-06-14 23:29:39.511732
49496,bet365,1x2,home,,1.29,2026-06-14 23:29:39.511732
49496,bet365,1x2,draw,,5.5,2026-06-14 23:29:39.511732
49496,bet365,1x2,away,,11.0,2026-06-14 23:29:39.511732
49496,market_avg,1x2,home,,1.29,2026-06-14 23:29:39.511732
49496,market_avg,1x2,draw,,5.86,2026-06-14 23:29:39.511732
49496,market_avg,1x2,away,,10.78,2026-06-14 23:29:39.511732
49497,bet365,1x2,home,,3.8,2026-06-14 23:29:39.511732
49497,bet365,1x2,draw,,3.75,2026-06-14 23:29:39.511732
49497,bet365,1x2,away,,1.91,2026-06-14 23:29:39.511732
49497,market_avg,1x2,home,,3.67,2026-06-14 23:29:39.511732
49497,market_avg,1x2,draw,,3.94,2026-06-14 23:29:39.511732
49497,market_avg,1x2,away,,1.95,2026-06-14 23:29:39.511732
49498,bet365,1x2,home,,1.2,2026-06-14 23:29:39.511732
49498,bet365,1x2,draw,,7.0,2026-06-14 23:29:39.511732
49498,bet365,1x2,away,,13.0,2026-06-14 23:29:39.511732
49498,market_avg,1x2,home,,1.23,2026-06-14 23:29:39.511732
49498,market_avg,1x2,draw,,6.49,2026-06-14 23:29:39.511732
49498,market_avg,1x2,away,,13.35,2026-06-14 23:29:39.511732
49499,bet365,1x2,home,,2.15,2026-06-14 23:29:39.511732
49499,bet365,1x2,draw,,3.4,2026-06-14 23:29:39.511732
49499,bet365,1x2,away,,3.5,2026-06-14 23:29:39.511732
49499,market_avg,1x2,home,,2.14,2026-06-14 23:29:39.511732
49499,market_avg,1x2,draw,,3.41,2026-06-14 23:29:39.511732
49499,market_avg,1x2,away,,3.57,2026-06-14 23:29:39.511732
49500,bet365,1x2,home,,2.3,2026-06-14 23:29:39.511732
49500,bet365,1x2,draw,,3.3,2026-06-14 23:29:39.511732
49500,bet365,1x2,away,,3.2,2026-06-14 23:29:39.511732
49500,market_avg,1x2,home,,2.32,2026-06-14 23:29:39.511732
49500,market_avg,1x2,draw,,3.31,2026-06-14 23:29:39.511732
49500,market_avg,1x2,away,,3.24,2026-06-14 23:29:39.511732
49501,bet365,1x2,home,,1.3,2026-06-14 23:29:39.511732
49501,bet365,1x2,draw,,6.0,2026-06-14 23:29:39.511732
49501,bet365,1x2,away,,8.0,2026-06-14 23:29:39.511732
49501,market_avg,1x2,home,,1.31,2026-06-14 23:29:39.511732
49501,market_avg,1x2,draw,,5.79,2026-06-14 23:29:39.511732
49501,market_avg,1x2,away,,9.23,2026-06-14 23:29:39.511732
49502,bet365,1x2,home,,1.53,2026-06-14 23:29:39.511732
49502,bet365,1x2,draw,,4.75,2026-06-14 23:29:39.511732
49502,bet365,1x2,away,,5.25,2026-06-14 23:29:39.511732
49502,market_avg,1x2,home,,1.53,2026-06-14 23:29:39.511732
49502,market_avg,1x2,draw,,4.67,2026-06-14 23:29:39.511732
49502,market_avg,1x2,away,,5.73,2026-06-14 23:29:39.511732
49503,bet365,1x2,home,,3.4,2026-06-14 23:29:39.511732
49503,bet365,1x2,draw,,3.4,2026-06-14 23:29:39.511732
49503,bet365,1x2,away,,2.15,2026-06-14 23:29:39.511732
49503,market_avg,1x2,home,,3.36,2026-06-14 23:29:39.511732
49503,market_avg,1x2,draw,,3.55,2026-06-14 23:29:39.511732
49503,market_avg,1x2,away,,2.16,2026-06-14 23:29:39.511732
49504,bet365,1x2,home,,13.0,2026-06-14 23:29:39.511732
49504,bet365,1x2,draw,,8.0,2026-06-14 23:29:39.511732
49504,bet365,1x2,away,,1.17,2026-06-14 23:29:39.511732
49504,market_avg,1x2,home,,16.67,2026-06-14 23:29:39.511732
49504,market_avg,1x2,draw,,7.51,2026-06-14 23:29:39.511732
49504,market_avg,1x2,away,,1.18,2026-06-14 23:29:39.511732
49505,bet365,1x2,home,,2.2,2026-06-14 23:29:39.511732
49505,bet365,1x2,draw,,3.75,2026-06-14 23:29:39.511732
49505,bet365,1x2,away,,3.0,2026-06-14 23:29:39.511732
49505,market_avg,1x2,home,,2.2,2026-06-14 23:29:39.511732
49505,market_avg,1x2,draw,,3.9,2026-06-14 23:29:39.511732
49505,market_avg,1x2,away,,3.03,2026-06-14 23:29:39.511732
49506,bet365,1x2,home,,4.75,2026-06-14 23:29:39.511732
49506,bet365,1x2,draw,,3.8,2026-06-14 23:29:39.511732
49506,bet365,1x2,away,,1.73,2026-06-14 23:29:39.511732
49506,market_avg,1x2,home,,4.7,2026-06-14 23:29:39.511732
49506,market_avg,1x2,draw,,3.94,2026-06-14 23:29:39.511732
49506,market_avg,1x2,away,,1.74,2026-06-14 23:29:39.511732
49507,bet365,1x2,home,,2.9,2026-06-14 23:29:39.511732
49507,bet365,1x2,draw,,3.25,2026-06-14 23:29:39.511732
49507,bet365,1x2,away,,2.5,2026-06-14 23:29:39.511732
49507,market_avg,1x2,home,,3.01,2026-06-14 23:29:39.511732
49507,market_avg,1x2,draw,,3.23,2026-06-14 23:29:39.511732
49507,market_avg,1x2,away,,2.5,2026-06-14 23:29:39.511732
49508,bet365,1x2,home,,1.73,2026-06-14 23:29:39.511732
49508,bet365,1x2,draw,,3.8,2026-06-14 23:29:39.511732
49508,bet365,1x2,away,,4.75,2026-06-14 23:29:39.511732
49508,market_avg,1x2,home,,1.72,2026-06-14 23:29:39.511732
49508,market_avg,1x2,draw,,4.06,2026-06-14 23:29:39.511732
49508,market_avg,1x2,away,,4.67,2026-06-14 23:29:39.511732
49509,bet365,1x2,home,,3.6,2026-06-14 23:29:39.511732
49509,bet365,1x2,draw,,4.0,2026-06-14 23:29:39.511732
49509,bet365,1x2,away,,1.85,2026-06-14 23:29:39.511732
49509,market_avg,1x2,home,,3.83,2026-06-14 23:29:39.511732
49509,market_avg,1x2,draw,,3.99,2026-06-14 23:29:39.511732
49509,market_avg,1x2,away,,1.88,2026-06-14 23:29:39.511732
49510,bet365,1x2,home,,1.4,2026-06-14 23:29:39.511732
49510,bet365,1x2,draw,,4.5,2026-06-14 23:29:39.511732
49510,bet365,1x2,away,,8.5,2026-06-14 23:29:39.511732
49510,market_avg,1x2,home,,1.38,2026-06-14 23:29:39.511732
49510,market_avg,1x2,draw,,5.03,2026-06-14 23:29:39.511732
49510,market_avg,1x2,away,,8.27,2026-06-14 23:29:39.511732
49511,bet365,1x2,home,,1.17,2026-06-14 23:29:39.511732
49511,bet365,1x2,draw,,8.0,2026-06-14 23:29:39.511732
49511,bet365,1x2,away,,15.0,2026-06-14 23:29:39.511732
49511,market_avg,1x2,home,,1.15,2026-06-14 23:29:39.511732
49511,market_avg,1x2,draw,,8.46,2026-06-14 23:29:39.511732
49511,market_avg,1x2,away,,17.91,2026-06-14 23:29:39.511732
49512,bet365,1x2,home,,2.5,2026-06-14 23:29:39.511732
49512,bet365,1x2,draw,,3.8,2026-06-14 23:29:39.511732
49512,bet365,1x2,away,,2.55,2026-06-14 23:29:39.511732
49512,market_avg,1x2,home,,2.55,2026-06-14 23:29:39.511732
49512,market_avg,1x2,draw,,3.87,2026-06-14 23:29:39.511732
49512,market_avg,1x2,away,,2.55,2026-06-14 23:29:39.511732
49513,bet365,1x2,home,,1.91,2026-06-14 23:29:39.511732
49513,bet365,1x2,draw,,3.3,2026-06-14 23:29:39.511732
49513,bet365,1x2,away,,4.33,2026-06-14 23:29:39.511732
49513,market_avg,1x2,home,,1.95,2026-06-14 23:29:39.511732
49513,market_avg,1x2,draw,,3.45,2026-06-14 23:29:39.511732
49513,market_avg,1x2,away,,4.15,2026-06-14 23:29:39.511732
49514,bet365,1x2,home,,1.65,2026-06-14 23:29:39.511732
49514,bet365,1x2,draw,,4.5,2026-06-14 23:29:39.511732
49514,bet365,1x2,away,,4.5,2026-06-14 23:29:39.511732
49514,market_avg,1x2,home,,1.66,2026-06-14 23:29:39.511732
49514,market_avg,1x2,draw,,4.49,2026-06-14 23:29:39.511732
49514,market_avg,1x2,away,,4.57,2026-06-14 23:29:39.511732
49515,bet365,1x2,home,,1.75,2026-06-14 23:29:39.511732
49515,bet365,1x2,draw,,3.8,2026-06-14 23:29:39.511732
49515,bet365,1x2,away,,4.5,2026-06-14 23:29:39.511732
49515,market_avg,1x2,home,,1.77,2026-06-14 23:29:39.511732
49515,market_avg,1x2,draw,,4.04,2026-06-14 23:29:39.511732
49515,market_avg,1x2,away,,4.38,2026-06-14 23:29:39.511732
49516,bet365,1x2,home,,6.0,2026-06-14 23:29:39.511732
49516,bet365,1x2,draw,,5.0,2026-06-14 23:29:39.511732
49516,bet365,1x2,away,,1.45,2026-06-14 23:29:39.511732
49516,market_avg,1x2,home,,6.64,2026-06-14 23:29:39.511732
49516,market_avg,1x2,draw,,4.95,2026-06-14 23:29:39.511732
49516,market_avg,1x2,away,,1.45,2026-06-14 23:29:39.511732
49517,bet365,1x2,home,,1.91,2026-06-14 23:29:39.511732
49517,bet365,1x2,draw,,3.6,2026-06-14 23:29:39.511732
49517,bet365,1x2,away,,4.0,2026-06-14 23:29:39.511732
49517,market_avg,1x2,home,,1.9,2026-06-14 23:29:39.511732
49517,market_avg,1x2,draw,,3.7,2026-06-14 23:29:39.511732
49517,market_avg,1x2,away,,4.07,2026-06-14 23:29:39.511732
49518,bet365,1x2,home,,1.67,2026-06-14 23:29:39.511732
49518,bet365,1x2,draw,,3.75,2026-06-14 23:29:39.511732
49518,bet365,1x2,away,,5.5,2026-06-14 23:29:39.511732
49518,market_avg,1x2,home,,1.68,2026-06-14 23:29:39.511732
49518,market_avg,1x2,draw,,3.96,2026-06-14 23:29:39.511732
49518,market_avg,1x2,away,,5.18,2026-06-14 23:29:39.511732
49519,bet365,1x2,home,,2.15,2026-06-14 23:29:39.511732
49519,bet365,1x2,draw,,4.0,2026-06-14 23:29:39.511732
49519,bet365,1x2,away,,2.88,2026-06-14 23:29:39.511732
49519,market_avg,1x2,home,,2.21,2026-06-14 23:29:39.511732
49519,market_avg,1x2,draw,,3.98,2026-06-14 23:29:39.511732
49519,market_avg,1x2,away,,2.96,2026-06-14 23:29:39.511732
49520,bet365,1x2,home,,1.29,2026-06-14 23:29:39.511732
49520,bet365,1x2,draw,,5.5,2026-06-14 23:29:39.511732
49520,bet365,1x2,away,,11.0,2026-06-14 23:29:39.511732
49520,market_avg,1x2,home,,1.28,2026-06-14 23:29:39.511732
49520,market_avg,1x2,draw,,6.1,2026-06-14 23:29:39.511732
49520,market_avg,1x2,away,,10.52,2026-06-14 23:29:39.511732
49521,bet365,1x2,home,,7.0,2026-06-14 23:29:39.511732
49521,bet365,1x2,draw,,4.5,2026-06-14 23:29:39.511732
49521,bet365,1x2,away,,1.45,2026-06-14 23:29:39.511732
49521,market_avg,1x2,home,,6.57,2026-06-14 23:29:39.511732
49521,market_avg,1x2,draw,,4.67,2026-06-14 23:29:39.511732
49521,market_avg,1x2,away,,1.48,2026-06-14 23:29:39.511732
49522,bet365,1x2,home,,1.53,2026-06-14 23:29:39.511732
49522,bet365,1x2,draw,,4.2,2026-06-14 23:29:39.511732
49522,bet365,1x2,away,,6.0,2026-06-14 23:29:39.511732
49522,market_avg,1x2,home,,1.53,2026-06-14 23:29:39.511732
49522,market_avg,1x2,draw,,4.37,2026-06-14 23:29:39.511732
49522,market_avg,1x2,away,,6.12,2026-06-14 23:29:39.511732
49523,bet365,1x2,home,,4.33,2026-06-14 23:29:39.511732
49523,bet365,1x2,draw,,3.75,2026-06-14 23:29:39.511732
