player_id,name,position,current_club_id,nationality,born
9911,Piero Hincapié,D S,119,ECU,2002
13025,Pierre Cornud,D S,175,FRA,1996
10284,Pierre Ekwah,D M,175,FRA,2002
8313,Pierre Kalulu Kyatengwa,D S,98,FRA,2000
5619,Pierre Lees-Melou,M S,241,FRA,1993
318,Pierre-Emerick Aubameyang,F M S,164,,
343,Pierre-Emile Højbjerg,D M,164,DEN,1995
3495,Pierrick Capelle,M S,167,FRA,1987
11902,Pietro Comuzzo,D S,110,ITA,2005
4932,Pietro Pellegri,F S,108,ITA,2001
6977,Pietro Terracciano,GK,110,ITA,1990
1386,Piotr Zielinski,M S,106,POL,1994
13365,Plamedi Nsingi,S,168,,
1461,Pol Lirola,D S,164,ESP,1997
7916,Pol Lozano,M S,141,ESP,1999
9061,Pontus Almqvist,D F M S,230,SWE,1999
6118,Portu,F M S,223,ESP,1992
7718,Predrag Rajkovic,GK,239,,
3599,Presnel Kimpembe,S,161,FRA,1995
13604,Prosper Peter,S,167,NGA,2007
9633,Przemyslaw Frankowski,D M S,210,POL,1995
11887,Przemyslaw Szyminski,S,112,,
5241,Péter Gulácsi,GK,136,HUN,1990
9399,Quentin Merlin,D M S,164,FRA,2002
5199,Raba,F M S,159,ESP,1995
12400,Rabby Nzingoula,M S,166,FRA,2005
12197,Rachad Dhimi,S,208,,
1311,Rade Krunic,M S,111,,
8641,Radoslaw Majecki,GK,171,POL,1999
9105,Radu Dragusin,D S,82,ROU,2002
10200,Rafa Marín,D S,105,ESP,2002
2589,Rafa Mir,F M S,146,ESP,1997
12903,Rafael Bauza,M S,141,ESP,2005
7193,Rafael Leão,F M S,111,POR,1999
1484,Rafael Toloi,D S,107,ITA,1990
11897,Raffaele Di Gennaro,S,106,,
12598,Rafik Messali,D S,174,FRA,2003
618,Raheem Sterling,F M S,83,ENG,1994
12586,Raimane Daou,S,164,,
12927,Ramon Hendriks,D S,133,NED,2001
3349,Ramy Bensebaini,D M S,129,ALG,1995
13198,Ramón Martínez,D S,138,ESP,2002
13021,Ramón Sosa,M S,249,PAR,1999
10947,Ramón Terrats,F M S,142,ESP,2000
5743,Randal Kolo Muani,F S,161,FRA,1998
9813,Randy Nteka,F S,145,ANG,1997
5251,Rani Khedira,M S,240,TUN,1994
6412,Raoul Bellanova,D M S,107,ITA,2000
3455,Raphael Guerreiro,D M S,117,POR,1993
2245,Raphael Varane,D S,89,,
8026,Raphinha,F M S,148,BRA,1996
11947,Rares Burnete,S,243,ROU,2004
10801,Rares Ilie,S,170,ROU,2003
11893,Rasmus Carstensen,D M S,134,DEN,1997
11055,Rasmus Højlund,F S,89,DEN,2003
10750,Rasmus Kristensen,D M S,132,DEN,1997
10788,Rasmus Nicolaisen,D,174,DEN,1997
11790,Rassoul Ndiaye,M S,282,SEN,2001
8042,Raul García,F S,157,ESP,2000
8584,Raul Moro,F M S,231,ESP,2002
6674,Rayan Ait Nouri,D M,229,ALG,2001
13506,Rayan Fofana,S,210,FRA,2006
10922,Rayan Raveloson,D M S,275,MAD,1997
8856,Razvan Marin,M S,116,ROU,1996
8321,Razvan Sava,GK,99,ROU,2002
2584,Raíllo,D,239,ESP,1991
13201,Raúl,D S,150,ESP,2000
1588,Raúl Albiol,D S,154,ESP,1985
12900,Raúl Chasco,D S,231,ESP,2003
6214,Raúl Fernández,GK,155,ESP,2000
2400,Raúl García,F S,147,ESP,2000
4105,Raúl Jiménez,F S,228,MEX,1991
9403,Raúl Torrente,D S,155,ESP,2000
4229,Raúl de Tomás,S,145,ESP,1994
11049,Reda Belahyane,M S,96,MAR,2004
9250,Reda Khadra,S,177,GER,2001
1771,Reece Burke,D S,256,,
8067,Reece James,D M S,80,ENG,1999
8825,Reinier,F M S,112,,
7432,Reinildo,D S,143,MOZ,1994
6492,Reiss Nelson,M S,83,ENG,1999
9834,Remi Matthews,S,78,,
6884,Remi Oudin,M S,243,FRA,1996
2555,Remiro,GK,140,ESP,1995
1488,Remo Freuler,M,97,SUI,1992
5768,Remy Descamps,GK,178,FRA,1996
11065,Remy Labeau Lascary,F M S,210,GLP,2003
13307,Remy Rees-Dottin,S,73,ENG,2006
7891,Renan Lodi,D,164,,
5228,Renato Sanches,M S,95,,
8710,Renato Tapia,D M S,159,PER,1995
11383,Renato Veiga,M S,80,POR,2003
5569,Rhian Brewster,F S,238,,
12291,Rhys Norrington-Davies,D S,238,,
8319,Ricard Sánchez,D S,155,,
3303,Ricardo Pereira,D S,75,POR,1993
308,Ricardo Rodríguez,D S,153,SUI,1992
8571,Ricardo Visus,D S,153,,
8129,Riccardo Calafiori,D S,83,ITA,2002
1601,Riccardo Marchizza,D,112,,
6160,Riccardo Orsolini,F M S,97,ITA,1997
11610,Riccardo Pagano,S,95,,
1313,Riccardo Saponara,F M S,94,,
6672,Riccardo Sottil,M S,111,ITA,1999
6026,Richarlison,F S,82,BRA,1997
12874,Richie Sagrado,D,265,BEL,2004
6362,Rick Karsdorp,D S,95,,
9679,Rico Henry,S,244,JAM,1997
10847,Rico Lewis,D M S,88,ENG,2004
9952,Ridgeciano Haps,D S,265,SUR,1993
8791,Ritsu Doan,F M S,135,JPN,1998
7877,Robert Andrich,D M S,119,GER,1994
8803,Robert Gumny,D S,121,POL,1998
227,Robert Lewandowski,F S,148,POL,1988
7867,Robert Skov,D M S,240,DEN,1996
9098,Robert Sánchez,GK,80,ESP,1997
10474,Robert Wagner,M S,288,GER,2003
13350,Roberto Fernández,F S,141,ESP,2002
1496,Roberto Gagliardini,S,271,ITA,1994
7195,Roberto López,M S,159,ESP,2000
8806,Roberto Massimo,S,133,,
8765,Roberto Navarro,M S,239,ESP,2002
1723,Roberto Pereyra,D F M S,99,,
7375,Roberto Piccoli,F,116,ITA,2001
6155,Robin Gosens,D M S,110,GER,1994
6351,Robin Hack,F M S,130,GER,1998
13012,Robin Hranác,D S,120,CZE,2000
161,Robin Knoche,D S,240,GER,1996
6273,Robin Koch,D,132,GER,1996
7276,Robin Le Normand,D S,143,ESP,1996
6962,Robin Olsen,GK S,71,SWE,1990
449,Robin Zentner,GK,125,GER,1994
13330,Robinio Vaz,S,164,FRA,2007
8826,Rocco Reitz,M S,130,GER,2002
2496,Rodri,M S,88,ESP,1996
12817,Rodrigo Abajas,D,146,ESP,2003
6108,Rodrigo Bentancur,M S,82,URU,1997
12756,Rodrigo Gomes,D M S,229,POR,2003
10717,Rodrigo Muniz,F S,228,BRA,2001
12418,Rodrigo Ribeiro,S,249,,
8002,Rodrigo Riquelme,D M S,143,ESP,2000
8410,Rodrigo Sánchez,M S,153,,
1145,Rodrigo de Paul,M S,143,ARG,1994
8015,Rodrygo,F M S,150,BRA,2001
2566,Roger,F S,261,ESP,2005
13533,Roger Hinojo,S,141,ESP,2005
6312,Rogerio,D S,131,,
1277,Roland Sallai,S,135,HUN,1997
3821,Rolando Mandragora,M S,110,ITA,1997
3721,Romain Del Castillo,F M S,241,FRA,1996
13387,Romain Esse,M S,78,ENG,2005
6420,Romain Faivre,F M S,241,FRA,1998
6500,Romain Perraud,D S,153,FRA,1997
12946,Roman Dixon,D,72,ENG,2004
12041,Roman Yaremchuk,F S,146,,
9069,Romano Schmid,M,123,AUT,2000
594,Romelu Lukaku,F S,105,BEL,1993
10004,Romeo Lavia,M S,80,BEL,2004
6014,Rominigue Kouame,M S,261,,
3517,Ronael Pierre Gabriel,D S,168,,
8091,Ronald Araújo,D S,148,URU,1999
13239,Ronnie Edwards,S,74,ENG,2003
592,Ross Barkley,M S,71,ENG,1993
13060,Ross Stewart,F S,74,SCO,1996
12326,Royce Openda,S,179,,
10232,Ruan,D S,104,,
6006,Ruben Aguilar,D M S,210,FRA,1993
688,Ruben Loftus-Cheek,M S,111,ENG,1996
7810,Ruben Vargas,F M S,138,SUI,1998
6917,Rubén Alcaraz,M,261,,
2293,Rubén Blanco,GK S,164,,
2110,Rubén Duarte,D S,158,,
2183,Rubén García,F M S,157,ESP,1993
10155,Rubén Iranzo,S,146,,
5075,Rubén Peña,D F M S,157,ESP,1991
5047,Rubén Sobrino,F M S,261,,
13577,Rudy Matondo,S,275,FRA,2008
13099,Rui Modesto,D S,99,ANG,1999
6849,Rui Patrício,GK,107,POR,1988
5109,Rui Silva,GK,153,POR,1994
7947,Ruslan Malinovskiy,M S,101,UKR,1993
10744,Ryan Christie,M S,73,SCO,1995
1683,Ryan Fraser,D M S,74,SCO,1994
10697,Ryan Gravenberch,M,87,NED,2002
7277,Ryan John Giles,D S,256,,
13134,Ryan Manning,D M S,74,IRL,1996
12158,Ryan Oné,S,238,,
6837,Ryan Sessegnon,D M S,228,ENG,2000
11146,Ryan Trevitt,S,244,ENG,2003
11003,Ryan Yates,M S,249,ENG,1997
3390,Rémy Cabella,F M S,160,FRA,1990
3398,Rémy Riou,GK,178,,
8961,Rúben Dias,D S,88,POR,1997
