club_id,name,league
90000049,Bahia,BRA-Serie A
90000050,Botafogo (RJ),BRA-Serie A
90000051,Ceará,BRA-Serie A
90000052,Corinthians,BRA-Serie A
90000053,Cruzeiro,BRA-Serie A
90000054,Flamengo,BRA-Serie A
90000055,Fluminense,BRA-Serie A
90000056,Fortaleza,BRA-Serie A
90000057,Grêmio,BRA-Serie A
90000058,Internacional,BRA-Serie A
90000059,Juventude,BRA-Serie A
90000060,Mirassol,BRA-Serie A
90000061,Palmeiras,BRA-Serie A
90000062,RB Bragantino,BRA-Serie A
90000063,Santos,BRA-Serie A
90000064,Sport Recife,BRA-Serie A
90000065,São Paulo,BRA-Serie A
90000066,Vasco da Gama,BRA-Serie A
90000067,Vitória,BRA-Serie A
90000068,AZ Alkmaar,NED-Eredivisie
90000069,Ajax,NED-Eredivisie
90000070,Excelsior,NED-Eredivisie
90000071,Feyenoord,NED-Eredivisie
90000072,Fortuna Sittard,NED-Eredivisie
90000073,Go Ahead Eagles,NED-Eredivisie
90000074,Groningen,NED-Eredivisie
90000075,Heerenveen,NED-Eredivisie
90000076,Heracles Almelo,NED-Eredivisie
90000077,NAC Breda,NED-Eredivisie
90000078,NEC Nijmegen,NED-Eredivisie
90000079,PSV,NED-Eredivisie
90000080,Sparta Rotterdam,NED-Eredivisie
90000081,Telstar,NED-Eredivisie
90000082,Twente,NED-Eredivisie
90000083,Utrecht,NED-Eredivisie
90000084,Volendam,NED-Eredivisie
90000085,Zwolle,NED-Eredivisie
90000086,AVS Futebol,POR-Primeira Liga
90000087,Alverca,POR-Primeira Liga
90000088,Arouca,POR-Primeira Liga
90000089,Benfica,POR-Primeira Liga
90000090,Braga,POR-Primeira Liga
90000091,Casa Pia,POR-Primeira Liga
90000092,Estoril,POR-Primeira Liga
90000093,Estrela,POR-Primeira Liga
90000094,Famalicão,POR-Primeira Liga
90000095,Gil Vicente FC,POR-Primeira Liga
90000096,Moreirense,POR-Primeira Liga
90000097,Nacional,POR-Primeira Liga
90000098,Porto,POR-Primeira Liga
90000099,Rio Ave,POR-Primeira Liga
90000100,Santa Clara,POR-Primeira Liga
90000101,Sporting CP,POR-Primeira Liga
90000102,Tondela,POR-Primeira Liga
90000103,Vitória Guimarães,POR-Primeira Liga
90000104,Birmingham City,ENG-Championship
90000105,Blackburn Rovers,ENG-Championship
90000106,Bristol City,ENG-Championship
90000107,Charlton Athletic,ENG-Championship
90000108,Coventry City,ENG-Championship
90000109,Derby County,ENG-Championship
90000110,Hull City,ENG-Championship
90000111,Ipswich Town,ENG-Championship
90000112,Leicester City,ENG-Championship
90000113,Middlesbrough,ENG-Championship
90000114,Millwall,ENG-Championship
90000115,Norwich City,ENG-Championship
90000116,Oxford United,ENG-Championship
